EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005138303,540088,237001060,MACACÃO PLANO LISO COM DET PREGAS DEGOLO,ROSA,M,2,09 08 03
9000005138310,540089,237001060,MACACÃO PLANO LISO COM DET PREGAS DEGOLO,ROSA,G,4,09 08 03
9000005138327,540090,237001060,MACACÃO PLANO LISO COM DET PREGAS DEGOLO,ROSA,GG,13,09 08 03
9000004970324,526311,213000821,CALÇA JEANS WIDE LEG BARRA LARGA,JEANS,38,29,09 08 02
9000004970331,526312,213000821,CALÇA JEANS WIDE LEG BARRA LARGA,JEANS,40,16,09 08 02
9000004970348,526313,213000821,CALÇA JEANS WIDE LEG BARRA LARGA,JEANS,42,8,09 08 02
9000005075967,534852,232001896,VESTIDO PLANO CURTO ESTAMPA CASTELA,ESTAMPADO,P,21,09 07 06
9000005075981,534854,232001896,VESTIDO PLANO CURTO ESTAMPA CASTELA,ESTAMPADO,G,4,09 07 06
9000005075998,534855,232001896,VESTIDO PLANO CURTO ESTAMPA CASTELA,ESTAMPADO,GG,9,09 07 06
9000005103394,537027,321000298,BLUSA MALHA COM DET BOLSO DE CROCHÊ,OFF WHITE,8,12,09 07 05
9000005103400,537028,321000298,BLUSA MALHA COM DET BOLSO DE CROCHÊ,OFF WHITE,10,13,09 07 05
9000005103417,537029,321000298,BLUSA MALHA COM DET BOLSO DE CROCHÊ,OFF WHITE,12,4,09 07 05
9000005057536,533326,235001216,SHORT PLANO LISO,CARAMELO,38,17,09 07 04
9000005057543,533327,235001216,SHORT PLANO LISO,CARAMELO,40,8,09 07 04
9000005057550,533328,235001216,SHORT PLANO LISO,CARAMELO,42,20,09 07 04
9000005087427,535641,235001216,SHORT PLANO LISO,VERDE,38,24,09 07 04
9000005087434,535642,235001216,SHORT PLANO LISO,VERDE,40,5,09 07 04
9000005139928,540192,235001225,SHORT PLANO LISO CLOCHARD COM FAIXA,ROSA,P,22,09 07 03
9000005139966,540193,235001225,SHORT PLANO LISO CLOCHARD COM FAIXA,ROSA,M,2,09 07 03
9000005140009,540194,235001225,SHORT PLANO LISO CLOCHARD COM FAIXA,ROSA,G,2,09 07 03
9000005105527,537208,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,TELHA,P,19,09 07 01
9000005105534,537209,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,TELHA,M,6,09 07 01
9000005105541,537210,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,TELHA,G,3,09 07 01
9000005105558,537211,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,TELHA,GG,7,09 07 01
9000005059660,533503,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,VERDE,P,6,09 07 01
9000005059677,533504,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,VERDE,M,5,09 07 01
9000005059684,533505,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,VERDE,G,6,09 07 01
9000005059691,533506,232001885,VESTIDO PLANO CURTO LISO COM TRANÇA NO CÓS,VERDE,GG,4,09 07 01
9000005081920,535286,221001714,REGATA MALHA ESTAMPA MÁLAGA,ESTAMPADO,P,23,09 06 06
9000005081937,535287,221001714,REGATA MALHA ESTAMPA MÁLAGA,ESTAMPADO,M,3,09 06 06
9000005081944,535288,221001714,REGATA MALHA ESTAMPA MÁLAGA,ESTAMPADO,G,4,09 06 06
9000005081951,535289,221001714,REGATA MALHA ESTAMPA MÁLAGA,ESTAMPADO,GG,16,09 06 06
9000005133049,539657,221001718,BLUSA MALHA COM OMBRO TRANÇADO,MARINHO,P,18,09 06 05
9000005133087,539659,221001718,BLUSA MALHA COM OMBRO TRANÇADO,MARINHO,G,1,09 06 05
9000005133100,539660,221001718,BLUSA MALHA COM OMBRO TRANÇADO,MARINHO,GG,2,09 06 05
9000005133117,539664,221001718,BLUSA MALHA COM OMBRO TRANÇADO,PINK,GG,2,09 06 05
9000005171249,542492,221001718,BLUSA MALHA COM OMBRO TRANÇADO,PRETO,P,1,09 06 05
9000005171256,542493,221001718,BLUSA MALHA COM OMBRO TRANÇADO,PRETO,M,4,09 06 05
